CLIENTNUM,Attrition Flag,Customer Age,Gender,Dependent count,Education Level,Marital Status,Income Category,Card Category,Months on book,Total Relationship Count,Months Inactive 12 mon,Contacts Count 12 mon,Credit Limit,Total Revolving Bal,Avg Open To Buy,Total Amt Chng Q4 Q1,Total Trans Amt,Total Trans Ct,Total Ct Chng Q4 Q1,Avg Utilization Ratio
717965808,Existing Customer,2.1863065453784594,M,-1.7435700542132846,Unknown,Single,$40K - $60K,Blue,2.1459555807570103,0.5434805731181859,-1.3111444873253042,1.2088413279059835,0.07591153760057237,-0.4412464341668792,0.11569080539146863,-1.011349750697634,2.4019077978218304,0.9443158891448082,-0.30622224857478697,-0.6852756068734133
716298633,Existing Customer,1.1297345956137281,F,-0.9780380151845693,Graduate,Single,Less than $40K,Blue,1.3122667100419092,0.5434805731181859,-0.30200235528665753,0.34019028144856284,-0.7519703001433917,0.7573012300969082,-0.8178663333903646,0.33390445710909716,2.394621032755648,1.514782430072842,0.7333006444320757,2.1256193411096262
782548758,Existing Customer,-0.5138217706869649,F,2.084090140930292,High School,Divorced,Less than $40K,Blue,0.0021841989181787275,0.5434805731181859,-0.30200235528665753,0.34019028144856284,-0.7538990367805916,0.13002394786539329,-0.7628248894936633,0.14228394495058047,2.3087991330872764,1.4110612408131995,-0.2410256908252276,1.2652156994442603
826410708,Existing Customer,-0.7486155373013496,M,1.3185581019015769,Unknown,Married,$60K - $80K,Blue,0.0021841989181787275,-1.0313003339170208,-0.30200235528665753,0.34019028144856284,1.6158375597602028,0.2781310839478343,1.584404488014946,-0.25268894745779164,2.2165001089156315,0.4775705374764168,-0.3859069302686929,-0.7837116167249595
715276683,Existing Customer,0.6601470623849587,M,-0.21250597615585393,High School,Married,$60K - $80K,Blue,1.0740698898375947,0.5434805731181859,-1.3111444873253042,1.2088413279059835,1.7668462929433215,0.6129278873610834,1.7044332630011816,-1.0465453549716475,2.1687313157039907,0.7368735106255231,0.39645176272601884,-0.7545453915837605
717626508,Existing Customer,-0.27902800407258016,F,0.5530260628728615,Graduate,Married,Less than $40K,Blue,0.0021841989181787275,-1.0313003339170208,0.7071397767519891,-1.3971118114662784,-0.795877422413765,-1.4730179956151448,-0.6590712026411545,-0.4716838184960965,2.1687313157039907,1.6703642139623058,-0.23378162885305434,-1.0061040834266006
716483358,Existing Customer,-0.27902800407258016,M,0.5530260628728615,Graduate,Single,$40K - $60K,Blue,-0.8315046717969226,0.5434805731181859,-1.3111444873253042,1.2088413279059835,-0.29372516616396577,0.18105245693581415,-0.3090437863206536,-0.49905817737588465,2.1573963478232625,0.6850129159957019,-0.02370383166003007,-0.21497022647158176
713447583,Existing Customer,0.1905595291561893,F,0.5530260628728615,High School,Single,$40K - $60K,Blue,0.0021841989181787275,0.5434805731181859,0.7071397767519891,-0.5284607650088577,-0.5494529532374063,1.084630446816925,-0.6458476935325014,0.19703266271015638,2.1565867072603533,0.1664069696974892,0.8202293880981548,0.9298041103204735
714738033,Existing Customer,-0.27902800407258016,F,1.3185581019015769,Graduate,Married,Less than $40K,Blue,-1.3078983122055519,0.5434805731181859,0.7071397767519891,-0.5284607650088577,-0.8068825667554348,-0.17365791099272107,-0.7880286718118654,0.02887588673431522,2.1144853979890765,1.5666430247026635,-0.25913584575566073,1.370943265581106
709781208,Existing Customer,-1.4529968371445037,F,-1.7435700542132846,Unknown,Married,Less than $40K,Blue,-1.1887999021033944,0.5434805731181859,0.7071397767519891,-1.3971118114662784,-0.7287120054006875,-1.4730179956151448,-0.5921625069802774,0.4629550061138128,2.0991022272938022,1.4110612408131995,0.41818394864253866,-1.0061040834266006
807600633,Existing Customer,-0.27902800407258016,F,-0.21250597615585393,Doctorate,Divorced,Unknown,Blue,0.3594794292246507,1.330871026635789,1.7162819087906358,-1.3971118114662784,0.12957579815325085,-0.6378928837553304,0.18700733742189682,-0.4364882142220831,2.098292586730893,1.462921835443021,0.08133506693648226,-0.7581911697264104
718137183,Existing Customer,1.3645283622281128,F,-0.9780380151845693,College,Married,Less than $40K,Blue,0.24038101912249338,-0.2439098803994175,-0.30200235528665753,0.34019028144856284,-0.6107187052425783,1.3285716121291806,-0.7290314773271055,1.0573696560749268,2.0748130104065274,1.9296671871114122,-0.2301595978669677,1.4584419410047027
716890533,Existing Customer,0.3079564124633816,F,-0.21250597615585393,Uneducated,Single,Less than $40K,Blue,0.0021841989181787275,1.330871026635789,-0.30200235528665753,-0.5284607650088577,-0.7410786108980277,0.6701793853425311,-0.7991047734584296,0.6389330274838796,2.073193729280709,1.6185036193324847,-0.19031725702001476,1.8704148711241366
718041033,Existing Customer,0.07316264584899693,F,1.3185581019015769,Graduate,Married,Less than $40K,Blue,0.0021841989181787275,1.330871026635789,-1.3111444873253042,1.2088413279059835,-0.7415324312832513,0.33787177749369285,-0.7693801333253033,0.8892128800990848,2.061858761399981,1.099897673034272,0.37471957680949947,1.4292757158635039
715109508,Existing Customer,-0.27902800407258016,F,0.5530260628728615,College,Married,Unknown,Blue,0.0021841989181787275,-1.0313003339170208,-1.3111444873253042,1.2088413279059835,0.0017119046165306373,0.30302303959194204,-0.025812044215656704,0.21658577619571934,2.048904512393434,2.1371095656306975,-0.6611812852112765,-0.411842246174674
789293358,Existing Customer,-0.044234237458195436,F,0.5530260628728615,Graduate,Married,Less than $40K,Blue,-0.11691421118397859,-1.0313003339170208,0.7071397767519891,1.2088413279059835,-0.12887491123153058,0.7597904256613189,-0.19737859829202753,-0.6007343675008121,2.03352134169816,1.2036188622939146,-0.29535615561652706,-0.14205466361858465
750147483,Existing Customer,0.3079564124633816,M,-0.21250597615585393,High School,Single,$80K - $120K,Blue,0.12128260902033605,1.330871026635789,-1.3111444873253042,1.2088413279059835,1.768207754098992,1.6596346221958136,1.610738484786879,-0.1979402296982153,2.0270442171948866,0.3738493482167743,0.2334603683521208,-0.6269431565910156
